name	pop	lat	long	REGION	OFFICE	cbsa
Abbotsford BC	157795	49.06	-122.3	BC	Abbotsford-Huntingdon	
Aldergrove BC	11972	49.06	-122.5	BC	Aldergrove	
Belleville NB		46.13	-67.77	NB	Woodstock Road	TRUE
Cornwall ON	48894	45.03	-74.74	ON	Cornwall	
Coutts AB		48.999	-111.96	AB	Coutts	TRUE
Delta BC		49.011	-123.066	BC	Boundary Bay	TRUE
Edmundston NB	18851	47.38	-68.34	NB	Edmundston	
Emerson MB		49	-97.23	MB	Emerson	TRUE
Fort Erie ON	16155	42.91	-78.93	ON	Peace Bridge	
Fort Frances ON	7834	48.62	-93.42	ON	Fort Frances Bridge	
Lacolle QC	1533	45.08	-73.37	QC	St-Bernard-de-Lacolle	
Lansdowne ON		44.348	-75.984	ON	Thousand Islands Bridge	TRUE
Niagara Falls ON		43.09	-79.0699	ON	Rainbow Bridge	TRUE
North Portal SK		48.999	-102.55	SK	North Portal	TRUE
Prescott ON	4523	44.72	-75.52	ON	Prescott	
Queenston ON		43.156	-79.049	ON	Queenston-Lewiston Bridge	TRUE
Sarnia ON	84053	42.99	-82.4	ON	Blue Water Bridge	
Sault Ste.Marie ON		46.519	-84.34	ON	Sault Ste. Marie	TRUE
St.Armand QC		45.01837	-73.084	QC	St-Armand/Philipsburg	TRUE
St.Stephen NB		45.1933	-67.283	NB	St. Stephen	TRUE
St.Stephen NB		45.1933	-67.283	NB	St. Stephen 3rd Bridge	TRUE
Stanstead QC		45.007	-72.087	QC	Stanstead	TRUE
Surrey BC		49.012	-122.733	BC	Pacific Highway	TRUE
Surrey BC		49.012	-122.733	BC	Douglas (Peace Arch)	TRUE
Windsor ON	281545	42.3	-83.03	ON	Windsor and Detroit Tunnel	
Windsor ON	281545	42.3	-83.03	ON	Ambassador Bridge	
